NÉV,dh01,dh02,dh03,dh04,dh05,dh06,dh07,dh08,dh09,dh10,dh11,dh12,dh13,dh14,dh15,dh16,dh17,dh18,dh19,dh20,dh21,dh22,dh23,dh24,dh25,dh26,dh27,dh28,dh29,dh30,dh31,dh32,dh33,dh34,dh35,dh36,dh37,dh38,dh39,dh40,dh41,dh42,dh43,dh44
dh01,0,4,0,4,5,3,4,3,3,1,4,5,1,0,1,2,3,4,5,0,0,0,5,3,0,5,0,2,1,1,0,0,5,2,1,2,0,3,0,2,3,4,5,3
dh02,1,0,2,2,5,0,0,5,1,1,3,3,3,3,0,5,5,2,2,2,1,5,3,2,2,3,0,5,4,2,3,3,2,2,3,2,3,2,3,1,1,0,1,2
dh03,2,1,0,5,1,3,2,5,0,2,5,4,1,2,4,1,4,1,0,4,3,2,3,4,2,3,0,5,0,1,3,0,5,3,3,3,4,3,4,1,4,1,2,0
dh04,0,4,4,0,1,5,4,5,3,2,5,0,3,2,1,5,4,5,2,3,3,3,1,4,2,2,0,3,0,2,5,3,2,0,3,4,1,4,5,2,4,1,2,4
dh05,3,2,5,3,0,3,4,1,5,0,2,4,0,1,1,3,5,4,1,5,5,5,4,1,4,5,0,3,4,3,1,5,4,3,2,2,2,0,2,3,0,4,0,3
dh06,5,1,3,4,4,0,1,5,5,0,5,4,3,4,1,2,2,3,2,1,3,4,0,5,2,0,5,4,1,5,2,2,4,5,4,0,1,3,1,5,4,2,1,3
dh07,5,5,0,3,0,3,0,0,0,2,4,5,5,1,1,0,3,3,0,3,3,4,4,3,0,2,1,0,4,1,4,1,2,5,3,3,0,2,4,0,2,5,0,3
dh08,1,0,3,2,5,2,5,0,0,2,5,0,3,1,1,4,2,0,2,2,1,5,4,0,0,0,5,4,2,2,3,2,5,4,1,3,1,3,1,2,2,3,0,1
dh09,1,4,3,4,5,0,3,2,0,5,1,2,2,1,2,0,1,5,4,4,3,4,5,1,2,4,1,3,2,2,3,5,3,4,3,1,2,2,0,3,5,1,3,4
dh10,5,4,4,2,5,2,5,3,3,0,4,5,3,3,5,3,5,4,2,4,3,4,5,0,3,4,3,1,4,0,1,5,4,5,4,2,5,3,0,5,0,5,5,0
dh11,2,5,4,3,0,0,1,4,0,5,0,1,3,4,3,3,4,4,5,5,4,1,2,0,1,1,3,0,0,5,1,0,0,1,3,2,5,4,0,4,5,5,5,5
dh12,4,2,0,2,5,5,0,0,2,1,3,0,4,2,5,5,1,0,5,0,1,4,5,2,0,3,0,5,3,1,4,4,1,3,1,4,3,3,0,1,3,5,1,2
dh13,1,2,2,5,0,2,3,0,2,0,0,2,0,4,5,1,2,3,4,2,5,0,5,2,3,0,5,0,0,4,1,1,2,0,4,2,3,2,0,2,1,4,1,3
dh14,4,2,5,2,1,3,4,3,5,4,2,3,1,0,5,1,4,0,2,4,0,2,5,3,1,3,5,5,5,2,5,2,1,1,4,3,1,2,4,4,2,1,2,3
dh15,1,4,5,1,1,0,5,3,0,3,2,5,5,0,0,1,4,4,5,1,2,4,0,5,1,3,2,3,3,2,3,4,0,4,0,2,4,0,4,3,3,0,0,5
dh16,1,5,1,0,2,1,3,2,5,5,0,0,5,0,5,0,2,3,5,1,2,0,4,3,4,3,1,3,2,1,2,5,1,2,1,2,4,4,4,1,4,4,4,3
dh17,0,0,3,0,2,4,1,2,3,5,4,4,4,2,2,5,0,1,0,0,0,3,2,0,2,2,1,4,0,0,4,4,2,2,0,4,5,5,4,2,1,4,2,4
dh18,3,5,3,3,4,5,3,4,0,3,0,4,2,2,1,4,2,0,1,3,2,0,3,0,4,3,0,4,2,5,0,5,0,5,3,3,1,3,2,0,5,0,4,2
dh19,4,1,1,0,1,3,2,5,1,1,0,1,3,3,4,4,0,4,0,0,3,4,4,0,5,4,0,3,4,5,4,5,2,5,0,1,3,1,0,5,3,1,4,1
dh20,4,3,0,1,1,1,5,1,3,0,4,4,2,0,5,3,1,5,2,0,3,5,3,5,3,3,5,1,3,2,5,3,5,3,2,2,2,0,1,2,5,1,0,3
dh21,5,0,1,4,3,4,1,2,3,0,3,5,1,3,4,0,0,5,1,2,0,4,1,2,2,2,1,3,2,5,3,3,1,1,1,1,1,5,3,5,0,3,0,5
dh22,1,1,4,0,5,3,2,2,3,3,4,5,0,3,5,0,5,2,2,4,5,0,4,1,5,4,1,3,0,2,1,2,5,2,5,3,3,2,2,4,5,3,0,4
dh23,5,4,1,2,5,1,0,4,5,4,1,1,1,0,2,2,0,1,0,4,1,0,0,4,4,0,1,3,0,1,2,0,5,3,4,5,3,5,1,4,4,5,0,0
dh24,1,1,3,1,4,5,4,4,2,2,5,0,3,1,0,2,5,3,1,2,3,5,2,0,4,1,3,0,5,1,5,1,3,3,2,1,4,5,4,1,0,1,2,1
dh25,4,0,0,1,1,3,5,4,3,5,5,3,5,4,4,0,1,5,5,0,5,0,5,5,0,4,4,0,1,3,2,0,2,0,1,2,4,3,3,2,4,1,5,0
dh26,1,4,4,3,5,1,3,5,5,3,5,3,1,0,4,5,5,5,2,3,2,3,2,0,2,0,3,1,5,3,0,0,2,0,0,5,2,5,1,3,1,5,5,5
dh27,2,3,1,5,5,4,0,1,3,0,2,2,5,5,5,0,1,1,2,0,5,1,1,0,4,3,0,3,1,3,4,5,1,2,3,4,4,0,4,1,2,1,4,0
dh28,5,4,1,1,3,0,5,4,4,0,0,0,2,3,4,5,3,3,0,1,1,2,4,2,4,3,0,0,3,2,5,4,1,5,1,4,5,5,2,5,4,5,2,0
dh29,2,5,5,3,0,4,1,0,2,2,0,0,4,3,5,1,1,5,2,0,1,4,2,2,2,2,5,2,0,2,4,1,1,4,2,2,3,0,3,0,2,1,4,1
