NÉV,iv01,iv02,iv03,iv04,iv05,iv06,iv07,iv08,iv09,iv10,iv11,iv12,iv13,iv14,iv15,iv16,iv17,iv18,iv19,iv20,iv21,iv22,iv23,iv24,iv25,iv26,iv27,iv28,iv29,iv30,iv31,iv32,iv33,iv34,iv35,iv36,iv37,iv38,iv39,iv40,iv41,iv42,iv43,iv44,iv45
esz01,5,2,1,2,2,2,5,3,4,1,5,2,4,4,1,1,0,5,2,2,5,4,5,3,2,4,4,5,3,1,2,2,1,5,1,4,5,1,5,3,1,4,0,2,1
esz02,1,5,1,2,2,1,2,3,0,0,2,1,5,3,4,0,3,3,2,0,2,4,4,5,5,5,1,3,0,0,2,5,0,0,5,2,4,5,4,5,5,4,2,5,1
esz03,5,0,4,4,3,1,1,0,2,2,0,3,0,0,0,4,2,2,1,0,5,3,3,0,2,0,5,3,0,3,0,5,2,2,3,2,5,2,3,1,1,2,3,5,1
esz04,1,3,5,5,1,1,2,4,2,3,4,2,2,1,2,4,3,1,0,3,3,4,2,5,1,2,2,4,4,0,2,4,4,0,1,1,1,5,0,3,4,3,2,1,1
esz05,4,0,4,4,3,0,4,4,4,3,3,4,0,4,3,2,1,5,1,2,3,5,0,5,1,4,4,2,0,0,4,1,1,4,1,0,0,2,4,0,1,3,3,5,0
esz06,1,2,5,0,0,0,2,4,5,3,0,0,0,2,0,1,4,4,5,1,5,1,3,2,2,1,5,3,3,0,2,3,2,4,3,1,3,3,2,0,0,1,4,3,5
esz07,2,3,1,3,3,2,1,5,1,5,1,5,3,3,5,3,0,2,1,3,0,0,2,2,3,3,0,5,5,3,5,2,4,1,2,2,1,0,2,5,4,0,4,3,0
esz08,1,2,0,1,1,2,1,1,1,3,0,2,4,4,0,0,2,4,1,2,3,1,2,5,3,5,3,5,2,4,3,0,4,0,3,3,3,5,1,2,5,4,2,0,1
esz09,4,0,4,3,1,0,5,5,3,3,5,5,3,4,5,5,0,4,2,1,3,1,0,3,3,0,0,4,1,0,2,2,2,2,1,5,0,3,1,5,5,4,5,5,0
esz10,1,4,0,4,2,2,0,2,4,5,4,1,5,4,1,2,3,1,4,3,4,1,3,0,1,0,3,5,0,5,4,1,5,4,1,2,1,3,5,4,1,5,3,1,1
esz11,5,2,1,5,3,5,2,3,5,3,0,2,2,0,5,3,0,2,2,4,0,3,5,5,1,0,3,1,3,0,2,2,1,1,2,0,3,0,4,3,4,3,4,5,1
esz12,2,5,0,5,2,1,3,3,0,2,0,2,2,5,5,4,5,3,5,2,5,5,4,1,2,4,0,1,0,5,2,4,3,4,5,3,3,1,3,2,1,0,3,1,3
esz13,3,2,2,3,0,5,5,0,2,4,3,2,5,0,2,4,3,5,0,5,1,5,0,5,2,2,4,4,2,1,0,3,1,3,0,2,0,5,0,1,5,2,5,3,1
esz14,0,4,0,0,1,5,3,5,3,0,0,5,4,1,3,4,3,4,5,1,3,3,5,4,0,5,3,3,1,3,1,1,5,1,2,1,5,3,4,0,3,4,1,3,5
esz15,2,1,3,4,4,2,0,5,0,1,5,2,3,2,3,5,2,1,1,4,4,3,4,3,0,0,2,4,5,3,2,4,4,4,3,2,2,3,1,5,4,0,0,5,3
esz16,1,0,3,2,0,3,0,5,1,1,4,0,2,5,2,4,3,2,0,0,2,4,4,2,4,0,5,3,5,2,5,2,1,4,2,0,3,4,4,1,0,0,3,1,5
esz17,1,2,5,2,5,5,2,4,2,1,1,2,1,2,1,4,0,4,0,1,0,4,4,0,2,1,3,2,2,0,0,3,0,3,4,1,3,0,0,1,4,0,2,2,2
esz18,0,4,0,5,0,3,4,1,3,2,3,1,1,1,2,3,5,4,2,0,2,3,4,0,3,5,1,5,3,0,4,2,3,3,4,3,0,2,4,2,2,4,5,4,4
esz19,0,2,1,4,1,0,0,2,2,5,3,3,0,2,3,4,1,4,1,5,3,2,5,1,4,0,5,0,3,0,3,5,3,3,3,4,2,4,2,2,5,4,4,1,5
esz20,4,4,1,3,5,5,5,2,5,1,0,2,3,4,1,1,1,3,5,1,5,5,4,4,0,0,0,4,1,3,3,4,5,5,0,4,0,2,0,2,2,0,2,5,0
esz21,3,4,4,2,0,0,3,0,4,0,5,2,4,2,1,3,1,3,2,1,0,1,1,5,0,0,3,1,0,1,4,5,4,2,3,1,5,3,5,3,5,1,0,3,1
esz22,0,1,3,2,3,0,0,0,2,5,3,1,5,3,4,4,5,5,1,5,1,5,3,5,3,2,2,0,4,0,2,4,4,4,5,2,4,4,5,4,0,2,3,5,5
esz23,2,0,4,0,2,0,1,5,4,4,1,5,1,5,5,5,0,4,3,0,2,3,4,1,1,5,0,3,0,2,4,5,3,1,1,5,5,5,1,4,4,4,5,4,1
esz24,4,4,3,5,0,3,3,4,1,4,1,2,3,5,1,5,0,2,5,5,4,2,3,1,3,1,1,2,4,1,3,3,5,3,0,4,5,0,3,1,1,3,3,2,2
esz25,4,3,1,2,4,1,3,4,0,0,2,5,0,1,0,2,3,4,5,3,0,0,4,5,0,2,2,0,1,3,4,4,2,1,2,0,2,3,0,5,5,4,1,0,3
esz26,1,5,4,3,1,5,4,0,0,4,1,0,3,5,0,1,4,1,5,5,0,2,1,1,3,2,0,2,2,3,4,0,2,3,5,4,2,1,3,2,3,5,5,1,3
esz27,5,5,5,5,2,5,0,3,5,3,4,4,1,5,1,5,0,2,3,4,4,1,1,4,5,4,2,1,3,1,2,4,3,2,1,5,2,5,0,2,1,5,0,5,1
esz28,2,5,4,5,2,2,0,0,0,3,5,4,1,1,0,4,3,5,3,0,3,4,2,1,2,1,3,4,5,3,4,3,3,2,3,2,3,4,3,3,0,5,2,2,2
esz29,1,5,2,3,5,5,5,3,1,4,0,0,1,4,4,3,1,4,1,4,3,5,0,4,2,2,0,1,2,2,5,1,2,1,2,5,1,0,4,5,1,5,0,5,2
esz30,4,3,2,2,3,5,3,2,2,0,4,3,5,3,4,1,2,3,4,2,5,5,0,4,3,0,3,4,5,4,2,5,0,5,3,2,1,1,4,3,0,0,0,2,2
esz31,4,5,1,4,0,0,2,3,2,2,0,5,1,5,2,0,5,1,1,2,3,0,4,3,3,2,2,0,5,3,1,1,2,4,4,0,4,3,0,2,2,0,3,1,3
esz32,0,4,0,4,1,3,2,1,4,0,2,0,1,2,2,1,2,1,1,3,3,1,3,3,2,2,1,0,3,5,5,5,4,0,2,0,5,0,4,4,4,3,1,5,2
esz33,3,4,0,1,0,1,1,1,0,0,1,5,4,0,0,3,0,2,4,5,3,0,3,4,1,4,4,2,4,1,5,2,0,0,5,5,4,2,4,5,0,5,3,1,0
esz34,2,3,4,4,4,5,3,4,1,0,3,5,3,0,3,2,3,4,3,2,2,1,5,5,5,1,2,3,2,5,0,0,1,3,4,3,5,2,5,2,0,1,1,1,5
esz35,4,2,0,1,4,5,1,3,4,3,3,0,2,1,1,3,1,2,5,3,5,5,2,4,0,2,3,4,5,3,2,4,3,3,0,5,2,2,2,0,1,5,0,2,3
esz36,3,5,3,3,4,0,4,4,5,5,4,1,4,4,0,5,0,2,2,5,5,3,5,5,0,5,0,0,3,0,1,5,1,0,1,2,3,4,2,0,4,5,5,1,1
esz37,4,2,4,2,0,3,1,5,3,4,0,3,0,2,2,3,3,1,3,3,0,0,4,0,3,3,4,4,3,2,0,4,3,4,0,4,4,3,3,5,5,5,3,2,3
esz38,5,2,4,5,3,0,2,1,5,2,2,1,0,3,4,4,5,2,0,1,3,0,3,3,1,3,2,2,2,0,0,5,0,1,0,5,5,1,1,5,4,3,2,3,3
esz39,3,4,2,2,1,1,2,4,4,2,1,3,1,2,1,4,1,1,5,4,4,4,4,4,4,1,0,1,4,4,1,5,2,1,5,3,1,0,3,1,4,1,0,0,0
esz40,0,4,2,3,3,4,2,4,0,0,4,1,4,0,1,1,1,1,3,2,5,3,4,0,4,1,5,4,2,2,5,5,4,2,5,3,0,1,2,2,1,2,4,4,4
esz41,3,3,0,0,5,4,5,0,5,4,3,5,3,0,2,2,0,1,0,5,2,4,5,5,4,3,4,2,5,0,1,0,3,4,2,4,3,3,2,4,3,3,2,2,1
esz42,0,2,4,3,3,4,4,3,1,5,5,4,2,4,2,0,5,5,4,3,0,4,2,5,5,5,2,3,1,3,0,1,1,0,1,3,0,5,2,5,1,5,0,2,2
esz43,4,0,5,4,5,5,5,0,3,3,2,0,3,4,1,1,0,4,1,2,2,2,3,2,4,5,2,4,5,3,0,4,5,1,1,1,5,5,5,3,4,0,0,3,2
esz44,2,5,1,5,5,2,1,1,2,2,1,0,4,1,5,5,3,3,5,0,1,5,5,3,5,3,2,5,0,2,2,1,1,2,5,4,0,5,4,3,5,2,2,5,1
esz45,2,4,2,4,1,5,1,3,1,2,4,5,5,3,4,2,2,1,4,2,5,0,4,3,5,2,5,5,2,2,0,1,3,0,3,2,2,2,5,3,5,2,1,3,1
esz46,2,2,3,2,0,5,3,1,2,2,1,4,2,1,0,0,2,1,2,5,2,2,5,4,5,2,5,2,0,0,5,3,0,2,1,3,4,0,4,3,1,3,0,2,2
esz47,4,0,5,0,3,1,4,4,3,0,0,3,4,1,2,0,2,3,3,3,5,0,3,2,2,3,0,1,4,2,3,0,2,1,5,4,1,5,4,3,0,2,1,1,3
esz48,4,5,4,4,4,3,1,3,2,5,2,2,0,2,4,1,2,4,4,5,2,1,0,4,3,1,1,3,0,2,0,3,3,5,2,3,4,4,0,0,0,1,1,4,0
esz49,0,4,0,1,4,1,4,4,3,3,2,1,2,1,3,4,4,3,3,3,3,5,4,5,4,3,2,2,5,0,5,2,4,1,1,4,1,1,3,4,2,1,1,0,4
esz50,3,3,3,1,1,4,4,0,4,0,3,4,2,5,5,2,0,3,0,3,5,3,1,2,1,0,4,1,2,3,4,4,2,3,1,5,3,0,3,5,5,0,1,3,4
esz51,5,2,0,2,5,3,4,0,1,5,5,2,4,4,0,5,5,0,3,3,5,1,4,2,2,4,3,5,2,0,3,4,0,5,3,4,2,2,5,1,4,1,4,3,5
esz52,0,1,3,1,5,2,5,1,4,3,3,4,2,3,1,3,3,5,3,3,4,4,0,2,4,1,5,5,2,2,1,0,4,5,3,2,0,0,0,3,4,1,3,2,3
esz53,4,3,2,2,0,1,5,2,4,3,3,0,2,0,2,1,3,2,1,5,3,5,1,4,4,3,5,1,1,0,4,5,5,0,0,4,0,1,3,4,2,5,4,0,3
esz54,5,0,1,2,2,1,3,5,4,4,4,3,3,3,2,3,5,5,3,3,4,1,3,2,0,2,2,2,1,4,4,3,1,4,0,2,2,4,4,1,5,3,2,5,3
esz55,4,2,2,1,5,4,2,2,0,4,2,4,3,4,2,5,2,4,1,5,1,0,4,0,2,5,0,5,2,5,1,5,4,5,4,5,0,4,2,2,5,1,1,5,3
esz56,5,0,1,3,0,5,2,3,3,0,4,1,0,1,4,5,5,3,1,2,3,0,3,1,0,0,4,1,0,5,3,1,4,1,3,4,0,5,2,0,5,5,2,3,0
esz57,2,5,1,5,4,3,2,2,1,3,3,1,1,0,5,2,1,4,3,1,1,2,3,2,3,1,5,1,3,5,2,0,3,2,2,0,2,4,1,1,5,3,5,3,5
