NÉV,mst01,mst02,mst03,mst04,mst05,mst06,mst07,mst08,mst09,mst10,mst11,mst12,mst13,mst14,mst15,mst16,mst17,mst18,mst19,mst20,mst21,mst22,mst23,mst24,mst25,mst26,mst27,mst28,mst29,mst30,mst31,mst32,mst33,mst34,mst35,mst36,mst37,mst38,mst39,mst40,mst41,mst42,mst43,mst44,mst45,mst46,mst47,mst48,mst49,mst50,mst51,mst52,mst53,mst54,mst55,mst56,mst57,mst58,mst59,mst60,mst61,mst62,mst63,mst64,mst65,mst66,mst67,mst68,mst69,mst70,mst71,mst72,mst73,mst74,mst75,mst76,mst77,mst78,mst79,mst80,mst81,mst82,mst83,mst84,mst85,mst86,mst87,mst88,mst89,mst90
esz01,4,0,0,0,5,5,4,4,5,3,3,1,1,3,2,5,4,4,5,4,1,4,4,2,2,1,1,2,0,5,5,5,2,3,4,4,5,2,2,3,4,5,1,0,1,4,5,1,2,4,0,5,2,4,2,0,0,0,4,2,3,5,5,2,0,5,4,3,0,3,1,4,1,5,4,3,0,5,0,3,3,1,0,2,3,5,1,2,2,2
esz02,2,4,0,5,0,0,0,5,4,0,1,5,5,4,5,2,3,5,0,4,4,1,1,1,3,1,0,0,2,2,4,3,0,1,0,5,5,2,0,5,2,2,5,4,3,2,1,2,1,2,3,5,1,2,3,2,5,2,5,1,1,4,4,3,5,3,2,1,1,0,5,3,1,3,2,2,2,5,3,3,3,4,0,2,5,1,4,4,3,0
esz03,5,5,0,3,1,3,5,0,5,2,0,4,1,0,2,0,3,1,1,1,3,4,0,4,1,5,2,3,1,0,1,1,2,1,3,5,2,4,4,1,5,1,5,2,2,2,1,4,0,0,5,4,1,1,5,1,4,1,1,4,5,5,1,1,1,0,3,2,2,2,1,4,2,4,1,2,2,5,2,5,3,3,1,4,2,1,5,4,4,0
esz04,0,2,0,5,5,3,1,4,3,3,2,0,2,1,0,0,4,5,3,0,5,2,4,2,2,3,0,4,2,1,0,3,4,2,5,4,3,3,4,0,0,0,3,1,4,2,3,4,3,0,5,0,4,2,0,4,1,2,3,0,3,5,0,1,4,3,2,0,4,5,4,3,4,2,4,2,2,2,3,3,3,3,0,1,4,3,2,5,5,3
esz05,3,3,5,3,4,0,1,4,5,0,2,5,5,0,5,5,4,4,2,3,3,4,3,4,2,5,3,3,1,4,0,4,3,5,4,0,0,0,0,0,0,5,0,2,4,0,3,5,3,1,2,4,5,2,1,4,1,0,2,4,0,4,2,1,2,0,1,0,3,3,1,3,5,2,5,1,1,1,2,5,0,1,2,4,3,0,2,3,3,2
esz06,4,0,0,3,2,3,1,1,4,5,1,4,2,5,0,5,5,4,5,3,3,3,3,4,2,0,2,0,2,2,2,5,0,0,3,5,1,3,1,2,1,4,2,3,3,4,1,5,4,4,1,0,4,1,5,4,5,0,3,5,1,1,3,5,2,2,4,4,5,5,0,4,1,0,1,0,3,1,4,2,4,5,4,4,5,5,2,0,2,3
esz07,2,0,3,0,1,5,3,4,5,5,0,0,1,2,5,0,2,1,5,4,1,3,4,1,2,0,3,2,2,3,3,5,4,4,5,2,3,1,2,3,2,1,4,4,0,1,0,3,2,0,5,5,0,4,0,4,0,4,3,5,1,1,1,2,4,4,4,1,4,0,1,4,2,3,1,0,4,2,2,5,1,5,4,2,5,5,4,0,4,2
esz08,3,2,0,3,4,0,4,5,4,1,1,4,3,3,5,1,0,4,0,0,3,4,2,1,2,4,2,0,5,1,1,5,1,1,1,1,1,0,2,2,0,2,4,4,0,0,4,5,0,1,0,1,5,4,3,1,5,5,5,1,4,1,4,1,3,1,4,3,3,3,3,1,5,3,0,3,5,0,2,4,0,1,2,3,1,1,0,2,4,3
esz09,4,2,3,5,0,0,4,4,3,2,2,3,1,5,0,2,1,2,3,1,3,0,4,4,0,3,4,0,4,0,5,1,4,2,1,0,2,4,0,3,0,0,4,4,3,4,4,4,4,3,0,4,2,1,3,1,0,1,3,3,4,0,2,3,1,5,3,4,2,1,0,0,3,2,5,3,1,1,2,1,5,5,0,5,4,4,0,3,3,1
esz10,3,4,4,1,1,5,2,1,2,3,1,1,4,5,1,5,5,5,1,0,5,0,2,0,3,0,3,2,1,1,2,3,2,0,2,2,0,3,3,3,2,1,2,5,5,1,1,3,0,3,3,3,5,2,4,1,5,4,3,0,4,4,1,2,1,2,2,4,5,4,5,0,3,2,5,2,1,4,4,0,4,0,5,0,4,4,1,3,3,4
esz11,2,2,2,3,1,4,4,1,2,4,1,2,1,5,4,2,0,1,0,0,2,1,1,4,3,3,1,4,4,5,1,4,4,0,5,2,3,1,1,2,1,1,4,1,2,3,5,2,3,0,4,2,2,2,3,1,1,1,0,1,5,5,2,5,1,0,3,3,0,1,1,0,4,3,0,5,4,4,5,1,3,2,5,5,5,2,4,0,2,3
esz12,0,4,0,1,1,3,4,3,0,1,4,3,0,3,1,1,2,5,0,4,1,0,3,3,5,3,4,5,4,0,0,0,1,4,0,1,4,1,0,5,5,3,0,5,4,5,3,5,1,1,2,4,1,0,2,1,2,1,3,3,1,5,3,4,0,0,4,2,0,3,5,2,1,3,3,5,0,5,4,4,5,0,4,5,1,4,1,1,0,3
esz13,2,5,4,5,4,4,2,4,0,2,3,2,0,2,3,0,5,5,5,1,1,2,2,0,4,4,1,5,1,4,3,1,0,5,5,1,4,5,3,0,4,2,3,5,1,2,1,2,5,4,1,5,3,3,1,5,3,0,5,3,1,3,3,0,5,4,5,1,0,0,4,5,3,2,0,2,4,0,2,4,3,1,3,4,0,0,0,5,5,0
esz14,5,2,0,5,1,0,1,3,2,4,2,0,3,2,4,0,5,4,4,4,4,5,5,4,3,1,1,5,0,2,5,5,1,2,3,1,3,1,2,2,4,1,2,5,3,1,3,5,5,4,3,2,5,1,3,5,1,0,0,0,1,5,1,0,2,2,0,3,1,4,1,5,3,2,2,5,0,3,3,0,1,0,0,4,4,3,5,5,0,3
esz15,1,3,0,3,2,2,0,3,0,4,0,1,3,3,3,0,4,4,2,2,1,2,1,5,4,3,1,1,1,5,5,4,0,5,4,5,2,5,3,2,1,0,1,0,0,5,0,0,0,3,2,4,1,3,4,2,4,3,0,5,4,0,4,4,2,1,0,0,1,3,2,2,4,0,5,1,0,0,5,1,3,1,2,2,2,2,5,3,1,3
esz16,2,1,3,3,4,3,2,4,1,4,0,4,5,2,4,5,0,4,3,0,4,3,2,4,2,1,5,4,5,5,0,5,2,4,2,4,4,2,2,2,3,4,1,5,5,4,4,2,3,5,2,3,4,0,1,0,1,3,5,3,5,1,4,4,0,4,1,5,5,2,3,3,3,1,0,1,4,2,5,4,1,2,1,3,5,4,2,3,4,1
esz17,0,4,1,2,5,0,1,2,5,0,5,2,1,1,3,4,2,1,4,0,5,4,4,4,4,5,5,3,5,4,3,3,3,1,0,4,0,5,1,4,4,4,3,4,2,0,1,5,5,1,1,4,2,2,5,2,2,3,1,2,1,1,3,3,5,0,1,3,2,4,0,1,2,2,2,1,3,0,4,3,4,3,0,3,3,2,4,1,2,2
esz18,4,1,5,3,2,2,2,4,5,0,5,4,4,1,2,3,4,2,5,4,0,1,3,2,4,4,4,2,3,1,2,5,0,2,3,2,1,2,1,0,5,0,4,3,0,5,1,2,1,3,5,3,0,4,0,1,5,1,2,1,4,5,4,0,0,4,5,0,0,1,4,2,5,4,4,3,3,2,2,0,2,4,3,3,2,5,2,5,3,4
esz19,3,3,4,0,5,5,4,1,3,0,3,1,1,2,0,0,5,3,2,0,1,5,3,0,3,0,5,4,5,3,1,3,3,3,4,1,0,3,3,0,5,1,4,5,1,2,5,2,5,4,3,1,4,1,3,1,0,1,2,0,1,3,1,2,3,4,1,1,3,5,1,5,5,3,2,1,3,5,1,0,4,5,2,5,0,2,1,2,1,4
