NÉV,dh01,dh02,dh03,dh04,dh05,dh06,dh07,dh08,dh09,dh10,dh11,dh12,dh13,dh14,dh15,dh16,dh17,dh18,dh19,dh20,dh21,dh22,dh23,dh24,dh25,dh26,dh27,dh28,dh29,dh30,dh31,dh32,dh33,dh34,dh35,dh36,dh37,dh38,dh39,dh40,dh41,dh42,dh43,dh44
iv01,0,0,0,0,3,1,2,3,1,4,3,4,1,5,2,5,1,4,0,0,1,4,2,0,5,5,0,4,5,2,3,3,4,5,0,3,1,3,2,5,1,2,4,5
iv02,1,0,2,4,5,1,0,3,1,2,1,4,0,4,0,1,5,5,1,2,0,2,0,5,4,2,2,0,5,3,2,0,3,4,4,2,1,0,3,2,5,2,4,5
iv03,4,4,0,1,0,2,1,0,0,4,4,3,5,2,1,1,4,0,4,5,3,3,5,3,3,4,5,2,4,3,3,2,5,4,5,3,1,5,2,3,2,0,5,4
iv04,4,4,3,0,4,2,3,2,1,5,3,1,4,0,2,1,0,1,5,3,4,4,5,5,4,2,1,4,1,5,3,4,3,4,0,2,3,5,0,5,3,1,5,0
iv05,4,1,1,2,0,4,1,2,3,3,5,3,1,1,2,2,2,5,5,5,0,3,0,1,3,2,2,0,3,1,0,3,2,2,5,0,5,5,0,4,3,0,4,3
iv06,2,0,1,0,5,0,1,4,1,4,3,4,4,1,2,4,0,3,1,0,5,5,1,1,5,2,1,3,5,1,3,0,0,4,3,2,5,4,0,3,4,2,4,2
iv07,5,3,5,5,1,4,0,1,5,4,4,1,3,1,5,2,2,4,0,4,4,3,2,4,1,0,5,3,2,5,0,4,5,3,4,2,5,2,5,3,5,0,1,4
iv08,1,0,0,0,0,4,1,0,4,2,5,4,1,5,3,1,1,4,1,2,0,3,1,1,5,4,4,5,2,1,2,5,4,2,2,0,0,2,3,5,3,1,5,5
iv09,0,0,5,1,1,0,5,5,0,1,3,5,4,2,4,3,4,0,0,5,0,3,1,3,1,1,0,3,1,4,4,0,5,4,1,3,5,3,0,0,3,5,3,4
iv10,0,5,5,4,2,2,1,3,5,0,4,0,5,4,4,3,0,3,4,4,2,0,3,2,3,1,5,5,0,1,1,5,2,3,1,4,5,2,1,2,1,2,3,3
iv11,5,3,3,4,5,5,3,1,1,0,0,5,2,0,3,2,4,1,5,3,0,2,2,2,0,3,5,5,2,3,3,2,2,0,4,3,4,5,3,3,3,4,1,5
iv12,4,4,3,0,2,2,3,1,3,2,2,0,1,5,0,4,0,0,1,0,1,1,1,3,1,3,0,3,2,4,3,4,0,4,3,2,2,5,3,1,2,0,5,3
iv13,1,3,2,5,2,0,3,1,0,1,5,5,0,1,3,4,2,4,3,4,3,0,5,4,5,3,3,4,2,0,4,4,1,3,1,0,0,5,5,1,5,3,5,0
iv14,2,5,3,5,1,3,5,2,3,3,2,2,3,0,0,2,3,5,4,0,5,2,1,3,1,2,5,0,1,1,4,1,0,0,2,3,0,5,5,1,4,5,2,1
iv15,4,0,1,4,1,2,5,1,0,5,1,3,4,0,0,1,1,3,4,3,5,3,1,3,2,3,5,2,2,4,0,0,4,2,2,5,0,1,3,2,3,2,5,3
iv16,0,4,4,4,3,4,5,0,5,0,4,5,3,1,5,0,2,0,2,4,4,1,0,0,1,2,1,5,2,1,4,5,5,1,1,5,5,1,0,5,4,5,3,5
iv17,4,1,5,2,2,3,1,2,2,4,3,2,0,3,3,0,0,5,0,3,3,4,0,4,3,5,4,4,0,5,2,5,2,5,4,4,0,2,3,1,0,2,0,4
iv18,2,2,2,0,0,2,2,2,4,0,0,0,4,0,4,4,0,0,1,2,0,2,1,3,1,2,0,1,4,3,2,2,1,2,2,0,5,4,1,3,3,2,2,4
iv19,2,0,1,4,2,2,1,1,4,4,3,1,0,4,2,5,3,5,0,0,1,2,0,5,0,5,2,5,5,4,1,4,0,3,3,5,2,4,3,4,5,3,0,3
iv20,2,1,3,1,4,0,1,2,3,0,0,5,4,4,1,4,5,2,2,0,0,5,3,1,2,0,5,5,1,3,4,3,2,0,2,4,5,2,1,2,2,5,4,2
iv21,4,2,0,5,0,2,2,2,2,3,4,3,5,5,4,5,0,4,3,3,0,4,4,3,1,4,2,2,3,1,1,4,2,4,0,1,3,3,0,4,0,4,3,0
iv22,0,4,5,0,3,1,3,2,3,4,3,3,0,3,1,1,0,1,2,4,0,0,0,4,0,2,0,1,3,0,2,2,2,1,5,2,3,5,3,5,5,0,0,3
iv23,2,5,1,2,0,3,4,2,5,0,2,1,5,0,0,5,5,1,4,3,0,2,0,2,3,4,0,3,2,4,4,4,5,2,1,4,3,2,0,0,1,1,0,0
iv24,4,1,4,1,1,4,5,2,1,5,4,5,5,2,2,0,2,2,0,1,0,5,3,0,4,0,3,1,0,1,0,2,5,1,4,4,1,1,0,0,1,4,0,3
iv25,1,3,2,1,4,4,3,5,5,2,1,1,4,0,4,5,5,5,3,2,4,4,1,4,0,4,1,1,1,5,1,5,1,0,3,1,2,1,5,3,0,0,4,0
iv26,5,0,3,3,1,0,1,2,2,0,0,0,5,0,4,0,4,4,1,1,5,3,0,0,3,0,3,3,1,0,3,5,3,4,4,5,3,3,1,4,1,5,1,5
iv27,4,0,3,4,1,1,0,1,5,2,2,2,5,0,3,1,1,3,2,0,4,5,2,3,3,3,0,3,2,3,3,5,1,5,4,5,3,1,3,5,3,2,5,5
iv28,0,3,5,3,2,2,1,5,0,0,2,0,3,0,2,3,3,5,3,4,5,2,3,1,5,1,1,0,4,1,4,4,3,0,4,2,4,4,3,0,1,4,4,3
iv29,0,1,1,1,4,5,5,5,3,4,2,1,2,3,4,3,3,4,4,3,0,0,5,3,4,4,1,5,0,0,3,0,3,3,5,4,1,0,4,2,0,5,4,3
iv30,0,1,4,1,4,4,5,2,5,4,2,4,2,2,3,1,5,5,5,3,3,1,1,2,0,0,5,0,2,0,3,0,0,4,3,3,2,3,4,5,5,3,2,5
iv31,3,4,0,5,3,2,1,2,3,0,3,3,3,0,5,0,2,4,0,5,0,0,1,1,2,1,5,2,0,3,0,4,1,4,0,1,2,0,4,0,5,0,2,3
iv32,3,0,0,1,0,3,4,5,1,4,0,3,5,4,2,1,2,3,0,4,5,3,2,5,4,5,3,5,2,2,5,0,2,4,0,4,0,4,2,3,1,2,5,5
iv33,1,3,1,3,5,0,0,2,5,1,0,0,0,0,2,1,1,3,1,1,4,1,5,3,4,1,5,2,2,4,4,4,0,5,2,5,1,1,0,2,4,4,3,0
iv34,4,5,2,4,2,4,3,0,2,1,1,3,3,1,2,4,1,4,1,5,3,1,3,4,4,5,0,3,3,3,5,4,4,0,2,0,2,0,1,4,4,0,2,0
iv35,5,0,5,1,2,4,0,4,5,4,5,5,2,2,1,0,2,2,1,1,2,0,2,4,5,2,0,1,5,2,4,2,2,1,0,3,2,0,3,4,0,3,1,2
iv36,3,1,5,3,0,5,3,0,0,1,2,5,0,2,5,0,3,1,2,2,3,5,1,2,2,5,1,1,2,5,1,3,3,3,2,0,2,4,1,4,0,4,0,0
iv37,2,1,4,2,5,0,5,3,5,1,4,1,4,0,2,1,2,0,4,0,0,4,4,3,0,2,1,3,1,3,1,1,2,0,5,3,0,4,5,1,0,2,0,4
iv38,2,3,2,2,5,4,5,1,3,0,3,2,4,0,5,1,4,4,3,0,3,1,1,4,0,5,3,5,1,2,5,5,5,0,3,1,1,0,1,1,3,3,0,1
iv39,1,0,4,1,4,2,1,2,4,0,3,0,4,2,2,5,1,2,2,5,0,3,0,4,4,5,3,5,2,1,3,2,2,5,1,5,0,0,0,1,0,4,2,3
iv40,0,3,0,0,0,5,3,2,3,5,0,1,5,1,0,3,5,5,1,2,0,4,0,3,2,5,4,5,0,0,1,5,2,5,3,4,0,0,5,0,4,0,0,4
iv41,5,4,2,4,2,3,4,1,1,3,2,3,0,3,1,2,0,2,3,4,3,0,3,3,2,0,0,3,1,0,3,4,1,4,2,3,1,4,3,0,0,5,5,2
iv42,3,0,0,3,2,1,1,5,5,2,4,1,2,1,1,2,1,3,3,0,0,1,1,4,0,3,3,1,0,0,0,2,0,0,3,0,5,4,2,5,0,0,2,2
iv43,5,1,3,3,4,5,1,1,5,5,3,4,0,3,0,4,0,3,4,3,2,3,5,5,5,5,0,4,5,0,1,5,4,0,3,1,1,4,4,2,0,1,0,5
iv44,3,4,0,5,0,0,0,0,1,5,1,3,1,2,0,5,5,2,4,5,2,4,3,0,1,1,4,5,4,1,2,5,2,3,1,1,5,1,3,1,4,0,2,0
iv45,1,5,3,5,5,0,0,5,4,3,4,1,0,0,4,0,2,0,4,0,3,1,1,2,3,4,0,4,2,2,1,2,0,5,5,1,0,4,5,4,1,4,3,2
