NÉV,esz01,esz02,esz03,esz04,esz05,esz06,esz07,esz08,esz09,esz10,esz11,esz12,esz13,esz14,esz15,esz16,esz17,esz18,esz19,esz20,esz21,esz22,esz23,esz24,esz25,esz26,esz27,esz28,esz29,esz30,esz31,esz32,esz33,esz34,esz35,esz36,esz37,esz38,esz39,esz40,esz41,esz42,esz43,esz44,esz45,esz46,esz47,esz48,esz49,esz50,esz51,esz52,esz53,esz54,esz55,esz56,esz57
mst01,5,5,4,2,1,5,1,4,1,2,5,0,5,1,0,4,2,3,4,1,1,0,1,3,2,4,5,5,2,5,1,3,0,5,2,5,2,5,4,4,4,1,1,2,5,4,0,0,5,5,0,5,5,1,4,3,2
mst02,2,0,1,0,2,5,0,3,3,1,1,1,5,4,0,2,2,0,5,2,5,2,1,1,5,5,0,2,0,0,3,5,1,5,1,1,3,0,0,3,4,0,0,1,0,5,4,5,0,2,0,3,4,2,5,0,3
mst03,1,5,5,1,3,2,0,3,4,1,5,4,0,1,2,0,2,4,1,3,2,0,4,0,1,0,0,1,3,1,2,1,4,5,5,0,4,1,4,0,0,3,5,2,3,4,2,2,1,2,0,5,2,5,3,1,1
mst04,0,0,4,3,1,2,0,2,1,2,0,2,0,0,0,0,3,1,2,4,4,2,2,4,0,3,5,3,5,4,4,0,1,3,4,3,3,2,0,5,1,5,4,4,3,2,5,1,5,5,1,5,3,5,1,5,3
mst05,5,0,5,3,5,4,0,1,2,5,3,1,5,0,1,3,1,1,5,4,2,3,1,5,0,1,4,3,3,0,5,4,1,5,2,0,5,2,1,5,2,2,5,4,4,0,4,3,4,3,2,2,4,1,1,0,4
mst06,1,1,4,3,5,0,3,5,3,4,4,0,1,4,4,4,4,0,2,2,1,1,1,3,2,3,3,1,0,3,0,3,2,3,1,5,0,5,1,3,2,1,5,2,0,5,4,3,0,2,4,0,3,3,5,3,4
mst07,2,5,5,0,1,2,2,5,1,2,5,3,4,5,3,1,2,4,5,5,2,5,2,0,2,2,5,2,4,4,5,0,0,2,0,2,0,2,5,5,1,4,3,5,5,1,5,0,0,2,3,2,1,0,5,1,1
mst08,0,2,0,0,4,3,4,5,0,2,0,0,3,0,5,3,1,1,0,5,1,3,4,1,5,4,2,1,2,2,3,0,2,4,2,4,0,5,5,3,2,2,5,1,3,5,4,2,4,5,4,5,2,3,5,0,0
mst09,4,1,1,5,5,5,3,0,0,3,3,0,4,5,2,3,5,4,2,4,0,1,5,4,0,3,0,0,0,5,0,4,0,2,5,5,1,2,3,1,5,2,5,3,3,4,3,4,5,2,5,4,0,0,5,0,0
mst10,2,0,4,1,2,2,3,2,1,1,3,2,3,4,1,5,5,5,1,3,0,0,0,4,3,3,5,3,5,5,3,3,0,5,0,4,2,3,3,3,0,0,0,2,0,1,3,4,0,3,4,4,5,4,4,0,0
mst11,5,5,3,3,4,5,5,1,0,5,5,1,3,2,4,4,2,0,5,2,0,5,2,2,3,3,2,0,0,2,4,3,2,5,4,1,5,4,5,2,1,3,0,4,4,3,0,4,5,3,0,3,0,4,2,3,3
mst12,2,2,2,1,3,2,1,1,3,4,1,2,4,3,4,3,0,4,1,1,3,0,3,3,0,4,4,4,4,3,0,2,4,4,0,5,1,5,3,0,0,5,2,3,1,1,2,0,0,5,0,4,0,2,4,0,0
mst13,2,3,0,2,2,3,3,2,2,0,2,1,3,1,4,1,3,5,1,5,1,5,1,4,0,0,5,5,2,1,5,0,5,0,4,4,5,1,0,5,4,4,3,1,3,4,5,1,0,5,1,3,0,0,4,5,5
mst14,4,2,2,5,5,0,0,1,5,5,0,1,2,4,2,3,1,3,0,2,5,5,0,4,3,0,2,3,2,3,5,3,5,4,1,5,5,2,3,1,1,2,2,3,1,1,3,1,5,0,0,1,1,2,1,3,2
mst15,5,0,3,3,3,1,3,1,3,5,3,1,4,0,5,0,2,0,1,4,1,3,1,0,2,5,0,0,3,4,4,2,0,2,3,4,2,4,0,2,5,0,3,0,2,4,1,3,0,3,1,0,3,1,2,4,0
mst16,4,3,0,1,3,5,4,3,0,2,3,4,1,5,1,2,1,2,3,1,4,2,5,5,4,3,0,5,3,4,5,1,5,4,2,2,3,1,3,4,2,0,1,1,2,1,5,2,2,1,2,2,0,4,2,1,5
mst17,4,0,2,2,4,4,0,0,4,5,5,0,2,4,2,2,1,0,4,4,5,4,0,1,4,3,4,0,0,2,2,5,0,3,3,0,5,3,2,0,3,3,0,1,0,0,2,3,0,0,0,0,5,2,5,1,1
mst18,5,5,1,3,1,4,3,4,2,2,2,2,2,4,4,0,4,3,0,3,2,4,2,0,5,4,4,3,3,4,1,0,0,4,2,1,0,0,4,5,0,3,2,0,1,2,1,5,1,0,0,3,4,4,0,0,5
mst19,1,3,5,3,1,4,2,3,3,2,2,3,5,4,1,5,4,1,0,4,4,3,2,5,3,1,5,4,0,3,3,3,2,5,5,4,2,2,1,4,0,1,3,1,2,2,3,2,2,5,3,0,3,2,4,1,5
mst20,5,1,1,2,0,1,5,0,3,3,4,0,1,1,2,5,4,5,0,2,3,5,1,2,0,4,2,2,0,5,5,5,2,0,4,1,3,4,0,0,4,3,3,4,5,0,5,5,1,1,3,5,1,4,4,0,5
